label,waypoint,x,y,z,laps,frames,fps_avg,fps_median,fps_1pct_low,frame_ms_avg,frame_ms_1pct_low,spread_pct,spread_1pct_pct,managed_mb,rss_mb,settled_after_s,settle_timeouts
moving-rotation-capture-budget-2026-08-17-long-1,east-full-turn,512020,230,512010,2,14261,475.2,479.1,299.9,2.10,3.33,0.0,2.9,2133,3878,21.0,0
moving-rotation-capture-budget-2026-08-17-long-1,south-full-turn,512420,230,512010,2,13682,456.0,456.4,282.3,2.19,3.54,0.2,1.3,2285,3968,21.0,0
moving-rotation-capture-budget-2026-08-17-long-1,west-full-turn,512420,230,512410,2,13009,433.4,433.5,283.0,2.31,3.53,0.0,5.6,2360,4152,21.0,0
moving-rotation-capture-budget-2026-08-17-long-1,north-full-turn,512020,230,512410,2,14701,489.0,480.1,313.8,2.05,3.19,0.2,2.2,1894,4054,21.0,0
