label,waypoint,x,y,z,laps,frames,fps_avg,fps_median,fps_1pct_low,frame_ms_avg,frame_ms_1pct_low,spread_pct,spread_1pct_pct,managed_mb,rss_mb,settled_after_s,settle_timeouts
readiness-maintenance-2026-08-18,east-full-turn,512020,230,512010,2,14485,482.8,490.0,272.2,2.07,3.67,0.5,2.7,1833,4059,21.0,0
readiness-maintenance-2026-08-18,south-full-turn,512420,230,512010,2,14401,480.0,487.4,260.6,2.08,3.84,0.4,1.3,2172,4004,21.0,0
readiness-maintenance-2026-08-18,west-full-turn,512420,230,512410,2,13421,447.3,450.4,259.9,2.24,3.85,0.8,5.2,2111,3944,21.0,0
readiness-maintenance-2026-08-18,north-full-turn,512020,230,512410,2,15279,505.7,505.5,268.0,1.98,3.73,0.7,15.5,2125,3918,21.0,0
