shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 406948 probes (397269 true/9679 false), 637 ready/640 lost transitions, 0 errors, 5 window changes/0 resizes, events 406948 accepted/3417 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 215/216/215/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 428852 probes (417139 true/11713 false), 816 ready/817 lost transitions, 0 errors, 6 window changes/0 resizes, events 428852 accepted/3477 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 386805 probes (382903 true/3902 false), 273 ready/272 lost transitions, 0 errors, 2 window changes/0 resizes, events 386805 accepted/2863 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 215/215/215/216/215/215/215/215
shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 439723 probes (435913 true/3810 false), 232 ready/232 lost transitions, 0 errors, 2 window changes/0 resizes, events 439723 accepted/3229 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 216/215/215/215/215/215/215/215
shadow 21x8x21, 1721 ready/0 observed/1807 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 373587 probes (361860 true/11727 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 373587 accepted/3555 coalesced/0 dropped, columns 441 tracked/215 full/1 partial, max 8/8 ready per column, ready per Y 215/216/215/215/215/215/215/215
shadow 21x8x21, 1726 ready/0 observed/1802 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 395703 probes (387902 true/7801 false), 549 ready/544 lost transitions, 0 errors, 4 window changes/0 resizes, events 395703 accepted/3398 coalesced/0 dropped, columns 441 tracked/215 full/5 partial, max 8/8 ready per column, ready per Y 215/215/215/220/216/215/215/215
shadow 21x8x21, 1726 ready/0 observed/1802 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 347509 probes (347509 true/0 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 347509 accepted/2265 coalesced/0 dropped, columns 441 tracked/215 full/5 partial, max 8/8 ready per column, ready per Y 215/215/215/220/216/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 376605 probes (365006 true/11599 false), 771 ready/777 lost transitions, 0 errors, 6 window changes/0 resizes, events 376605 accepted/3652 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 395741 probes (384056 true/11685 false), 817 ready/817 lost transitions, 0 errors, 6 window changes/0 resizes, events 395741 accepted/3694 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
shadow 21x8x21, 1724 ready/0 observed/1804 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 339691 probes (337744 true/1947 false), 140 ready/136 lost transitions, 0 errors, 1 window changes/0 resizes, events 339691 accepted/2516 coalesced/0 dropped, columns 441 tracked/215 full/3 partial, max 8/8 ready per column, ready per Y 216/216/215/217/215/215/215/215
shadow 21x8x21, 1720 ready/0 observed/1808 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 369847 probes (364081 true/5766 false), 364 ready/368 lost transitions, 0 errors, 3 window changes/0 resizes, events 369848 accepted/3132 coalesced/0 dropped, columns 441 tracked/215 full/0 partial, max 8/8 ready per column, ready per Y 215/215/215/215/215/215/215/215
