shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 554719 probes (444399 true/110320 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 25 accepted/56 coalesced/0 dropped, sweeps 554694 accepted/2866 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1737 ready/0 observed/1791 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 563547 probes (443499 true/120048 false), 522 ready/641 lost transitions, 0 errors, 5 window changes/0 resizes, events 719 accepted/115 coalesced/0 dropped, sweeps 562828 accepted/4250 coalesced, columns 441 tracked/217 full/1 partial, max 8/8 ready per column, ready per Y 217/217/218/217/217/217/217/217
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 592059 probes (464432 true/127627 false), 935 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 894 accepted/133 coalesced/0 dropped, sweeps 591165 accepted/4507 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 542498 probes (431947 true/110551 false), 272 ready/272 lost transitions, 0 errors, 2 window changes/0 resizes, events 302 accepted/62 coalesced/0 dropped, sweeps 542196 accepted/3464 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 610815 probes (486542 true/124273 false), 232 ready/232 lost transitions, 0 errors, 2 window changes/0 resizes, events 278 accepted/28 coalesced/0 dropped, sweeps 610537 accepted/3768 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 508847 probes (399576 true/109271 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 924 accepted/125 coalesced/0 dropped, sweeps 507923 accepted/4666 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 550886 probes (435193 true/115693 false), 544 ready/544 lost transitions, 0 errors, 4 window changes/0 resizes, events 692 accepted/195 coalesced/0 dropped, sweeps 550194 accepted/4139 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 491962 probes (393906 true/98056 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 26 accepted/43 coalesced/0 dropped, sweeps 491936 accepted/2568 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 513288 probes (402669 true/110619 false), 776 ready/776 lost transitions, 0 errors, 6 window changes/0 resizes, events 835 accepted/165 coalesced/0 dropped, sweeps 512453 accepted/4564 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 542589 probes (424794 true/117795 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 925 accepted/201 coalesced/0 dropped, sweeps 541664 accepted/4620 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232
