label,waypoint,x,y,z,laps,frames,fps_avg,fps_median,fps_1pct_low,frame_ms_avg,frame_ms_1pct_low,spread_pct,spread_1pct_pct,managed_mb,rss_mb,settled_after_s,settle_timeouts
visibility-controlled-on-2026-08-18,east-full-turn,512020,230,512010,1,14134,471.1,470.9,306.8,2.12,3.26,0.0,0.0,2321,3973,21.0,0
visibility-controlled-on-2026-08-18,south-full-turn,512420,230,512010,1,13436,447.9,444.5,279.5,2.23,3.58,0.0,0.0,1795,3968,21.0,0
visibility-controlled-on-2026-08-18,west-full-turn,512420,230,512410,1,12942,431.4,438.8,287.8,2.32,3.47,0.0,0.0,2047,3972,21.0,0
visibility-controlled-on-2026-08-18,north-full-turn,512020,230,512410,1,14612,487.1,483.0,295.2,2.05,3.39,0.0,0.0,2128,3988,21.0,0
