label,waypoint,x,y,z,laps,frames,fps_avg,fps_median,fps_1pct_low,frame_ms_avg,frame_ms_1pct_low,spread_pct,spread_1pct_pct,managed_mb,rss_mb,settled_after_s,settle_timeouts
p9format-packed-03104-a,north-horizon,256000,280,256000,1,3949,394.7,397.2,262.1,2.53,3.81,0.0,0.0,1844,4260,36.0,0
p9format-packed-03104-a,east-horizon,256000,280,256000,1,4434,443.4,447.1,281.9,2.26,3.55,0.0,0.0,2149,4412,21.0,0
p9format-packed-03104-a,south-horizon,256000,280,256000,1,4440,443.9,447.0,290.0,2.25,3.45,0.0,0.0,2337,4424,21.0,0
p9format-packed-03104-a,west-horizon,256000,280,256000,1,4282,428.2,431.2,269.2,2.34,3.71,0.0,0.0,1765,4401,21.0,0
p9format-packed-03104-a,downward,256000,280,256000,1,3451,345.0,346.9,235.8,2.90,4.24,0.0,0.0,2009,4406,21.0,0
p9format-packed-03104-a,slow-rotation,256000,280,256000,1,4246,424.5,425.8,274.0,2.36,3.65,0.0,0.0,2228,4407,21.0,0
