shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 517269 probes (411187 true/106082 false), 272 ready/272 lost transitions, 0 errors, 2 window changes/0 resizes, events 406 accepted/2532 coalesced/0 dropped, sweeps 516863 accepted/3335 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 244 blocks/unready 244 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1836 ready/0 observed/1692 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 517359 probes (411283 true/106076 false), 212 ready/232 lost transitions, 0 errors, 2 window changes/0 resizes, events 257 accepted/35 coalesced/0 dropped, sweeps 517102 accepted/3490 coalesced, columns 441 tracked/229 full/1 partial, max 8/8 ready per column, ready per Y 230/230/230/230/229/229/229/229, nearest incomplete 236 blocks/unready 236 blocks, handoff 160 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 555209 probes (434817 true/120392 false), 836 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 834 accepted/118 coalesced/0 dropped, sweeps 554375 accepted/5288 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 240 blocks/unready 240 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 630867 probes (498425 true/132442 false), 544 ready/544 lost transitions, 0 errors, 4 window changes/0 resizes, events 589 accepted/636 coalesced/0 dropped, sweeps 630278 accepted/4769 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 542246 probes (434174 true/108072 false), 0 ready/0 lost transitions, 0 errors, 0 window changes/0 resizes, events 6 accepted/40 coalesced/0 dropped, sweeps 542240 accepted/2792 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 571028 probes (447440 true/123588 false), 776 ready/776 lost transitions, 0 errors, 6 window changes/0 resizes, events 856 accepted/125 coalesced/0 dropped, sweeps 570172 accepted/4490 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 242 blocks/unready 242 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 576488 probes (452732 true/123756 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 907 accepted/128 coalesced/0 dropped, sweeps 575581 accepted/4451 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 546935 probes (437295 true/109640 false), 136 ready/136 lost transitions, 0 errors, 1 window changes/0 resizes, events 167 accepted/43 coalesced/0 dropped, sweeps 546768 accepted/3160 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 252 blocks/unready 252 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 580928 probes (461548 true/119380 false), 368 ready/368 lost transitions, 0 errors, 3 window changes/0 resizes, events 420 accepted/31 coalesced/0 dropped, sweeps 580508 accepted/3944 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 236 blocks/unready 236 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 507008 probes (397696 true/109312 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 956 accepted/127 coalesced/0 dropped, sweeps 506052 accepted/4717 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 228 blocks/unready 228 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 535258 probes (423931 true/111327 false), 408 ready/408 lost transitions, 0 errors, 3 window changes/0 resizes, events 516 accepted/172 coalesced/0 dropped, sweeps 534742 accepted/3747 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 230 blocks/unready 230 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 495159 probes (395528 true/99631 false), 96 ready/96 lost transitions, 0 errors, 1 window changes/0 resizes, events 124 accepted/56 coalesced/0 dropped, sweeps 495035 accepted/2873 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 234 blocks/unready 234 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 528163 probes (414279 true/113884 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 899 accepted/153 coalesced/0 dropped, sweeps 527264 accepted/4601 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 226 blocks/unready 226 blocks, handoff 192 blocks (readiness, radial 64)
shadow 21x8x21, 1856 ready/0 observed/1672 pending/0 unknown, 0 probes/0 observations queued, oldest work 0 frames, 376.0 KiB arrays, interval 506693 probes (395826 true/110867 false), 816 ready/816 lost transitions, 0 errors, 6 window changes/0 resizes, events 927 accepted/227 coalesced/0 dropped, sweeps 505766 accepted/4516 coalesced, columns 441 tracked/232 full/0 partial, max 8/8 ready per column, ready per Y 232/232/232/232/232/232/232/232, nearest incomplete 244 blocks/unready 244 blocks, handoff 192 blocks (readiness, radial 64)
