label,waypoint,x,y,z,laps,frames,fps_avg,fps_median,fps_1pct_low,frame_ms_avg,frame_ms_1pct_low,spread_pct,spread_1pct_pct,managed_mb,rss_mb,settled_after_s,settle_timeouts
phase1-mip-worker-repeat,spawn-horizon,512020,190,512010,1,2234,744.6,823.9,268.3,1.34,3.73,0.0,0.0,1689,3503,3.0,0
phase1-mip-worker-repeat,spawn-look-south,512020,190,512010,1,2806,935.2,959.2,566.7,1.07,1.76,0.0,0.0,2042,3570,3.0,0
phase1-mip-worker-repeat,ridge-east,512900,200,512010,1,2006,668.5,645.3,452.4,1.50,2.21,0.0,0.0,2030,3583,3.0,0
phase1-mip-worker-repeat,valley-north,512020,175,512900,1,2562,853.9,870.1,634.6,1.17,1.58,0.0,0.0,1833,3682,3.0,0
phase1-mip-worker-repeat,high-overlook,512450,260,512450,1,2760,920.0,989.7,398.1,1.09,2.51,0.0,0.0,1732,3693,3.0,0
